Motion,Proposed,Seconded,Resolution,Voting Method
I move that the minutes be confirmed as a true and accurate record of the last meeting,,,,
"I move that the statement be confirmed as a true and fair record of the financial position of the incorporated association during and at the end of its last financial year, and that the secretary submit the statement to Consumer Affairs Victoria within one month of the date of this meeting.",,,,
New Motion,,,,
